name,domains,skills,paid,duration,role,location,mode,prerequisites,stipend,other
AI Nexus Research,Cybersecurity,"Burp Suite, Networking, OWASP Top 10, Python",Yes,6 months,Security Analyst Intern,Delhi,remote,Strong fundamentals in Cybersecurity and willingness to learn.,₹23674 /month,Team outings and hackathon-style sprints.
OrbitSoft,Business Analytics,"Excel, SQL, Tableau, Power BI",Yes,6 months,Analytics Intern,Noida,remote,Good communication skills and ability to work in a team.,₹20995 /month,Certificate and Letter of Recommendation.
BlueSky Digital,AI & Robotics,"ROS, Python, OpenCV, Embedded Systems",Yes,3 months,AI Research Intern,Delhi,hybrid,"Comfortable with ROS, Python, OpenCV, Embedded Systems and basic problem solving.",₹14020 /month,Certificate and Letter of Recommendation.
GreenStack Innovations,AI & Robotics,"Python, OpenCV, Embedded Systems, ROS",Yes,4–6 months,AI Research Intern,Noida,onsite,Good communication skills and ability to work in a team.,₹11511 /month,Certificate and Letter of Recommendation.
PixelCraft Studios,Web Development,"Node.js, CSS, HTML, REST APIs",No,6 months,Full-Stack Web Intern,Delhi,remote,"Comfortable with Node.js, CSS, HTML, REST APIs and basic problem solving.",₹0 /month,Certificate and Letter of Recommendation.
OrbitSoft,UI/UX,"Figma, Wireframing, Prototyping, User Research",Yes,2 months,UI/UX Design Intern,Hyderabad,onsite,Strong fundamentals in UI/UX and willingness to learn.,₹4732 /month,Flexible working hours and remote-friendly culture.
HealthSync Systems,Web Development,"CSS, REST APIs, JavaScript, HTML",Yes,3 months,Frontend Web Intern,Delhi,onsite,College projects or mini-projects in related areas is a plus.,₹16925 /month,Team outings and hackathon-style sprints.
CloudNova Tech,AI & Robotics,"ROS, Python, OpenCV, Embedded Systems",Yes,2 months,Robotics Intern,Delhi,onsite,Strong fundamentals in AI & Robotics and willingness to learn.,₹4846 /month,Team outings and hackathon-style sprints.
MarketPulse Insights,Cloud Computing,"AWS, CI/CD, Docker, Kubernetes",Yes,6 months,Cloud Engineer Intern,Bengaluru,onsite,"Comfortable with AWS, CI/CD, Docker, Kubernetes and basic problem solving.",₹18574 /month,Opportunity to work on live client projects.
MarketPulse Insights,Business Analytics,"Storytelling, SQL, Power BI, Excel",No,3 months,Analytics Intern,Noida,onsite,College projects or mini-projects in related areas is a plus.,₹0 /month,Opportunity to work on live client projects.
CloudNova Tech,Mobile Development,"REST APIs, Dart, Firebase, Flutter",Yes,3 months,Flutter Developer Intern,Kochi,onsite,Basic understanding of industry tools used in Mobile Development.,₹18242 /month,Certificate and Letter of Recommendation.
PixelCraft Studios,AI & Robotics,"Python, OpenCV, Embedded Systems, ROS",Yes,2 months,Robotics Intern,Delhi,hybrid,Basic understanding of industry tools used in AI & Robotics.,₹5458 /month,Team outings and hackathon-style sprints.
BrightPath Solutions,DevOps,"CI/CD, GitHub Actions, Docker, Kubernetes",Yes,4–6 months,SRE Intern,Chennai,hybrid,Strong fundamentals in DevOps and willingness to learn.,₹16460 /month,Flexible working hours and remote-friendly culture.
DataForge Labs,Data Science,"Pandas, NumPy, Power BI, SQL",Yes,3 months,Data Analyst Intern,Hyderabad,remote,Good communication skills and ability to work in a team.,₹4480 /month,Team outings and hackathon-style sprints.
CloudNova Tech,AI & Robotics,"ROS, OpenCV, Embedded Systems, Python",Yes,3 months,AI Research Intern,Remote,hybrid,Strong fundamentals in AI & Robotics and willingness to learn.,₹7301 /month,Flexible working hours and remote-friendly culture.
OrbitSoft,AI & Robotics,"Python, Embedded Systems, ROS, OpenCV",Yes,6 months,AI Research Intern,Pune,hybrid,Strong fundamentals in AI & Robotics and willingness to learn.,₹3666 /month,Access to internal learning resources and workshops.
BlueSky Digital,Web Development,"CSS, REST APIs, React, JavaScript",Yes,4–6 months,Frontend Web Intern,Bengaluru,onsite,College projects or mini-projects in related areas is a plus.,₹19261 /month,Flexible working hours and remote-friendly culture.
SecureGate Cyber,Data Science,"Pandas, Scikit-Learn, Power BI, Python",Yes,2 months,Data Analyst Intern,Noida,hybrid,Strong fundamentals in Data Science and willingness to learn.,₹7010 /month,Flexible working hours and remote-friendly culture.
OrbitSoft,Machine Learning,"PyTorch, Scikit-Learn, MLflow, TensorFlow",Yes,4–6 months,ML Engineer Intern,Kochi,remote,Good communication skills and ability to work in a team.,₹5541 /month,Flexible working hours and remote-friendly culture.
OrbitSoft,Cloud Computing,"Kubernetes, Linux, Docker, AWS",Yes,6 months,Cloud Engineer Intern,Remote,remote,College projects or mini-projects in related areas is a plus.,₹4988 /month,1:1 mentorship from industry professionals.
GreenStack Innovations,Machine Learning,"Scikit-Learn, PyTorch, MLflow, TensorFlow",Yes,2 months,ML Engineer Intern,Bengaluru,remote,Basic understanding of industry tools used in Machine Learning.,₹13366 /month,Opportunity to work on live client projects.
AI Nexus Research,Cybersecurity,"Networking, Kali Linux, OWASP Top 10, Burp Suite",Yes,3 months,Cybersecurity Intern,Kochi,hybrid,Basic understanding of industry tools used in Cybersecurity.,₹21817 /month,1:1 mentorship from industry professionals.
MarketPulse Insights,UI/UX,"Figma, Prototyping, Wireframing, User Research",No,6 months,UI/UX Design Intern,Kochi,onsite,College projects or mini-projects in related areas is a plus.,₹0 /month,Access to internal learning resources and workshops.
WebWorks Studio,Cybersecurity,"Kali Linux, Python, Networking, OWASP Top 10",Yes,6 months,Security Analyst Intern,Mumbai,remote,Good communication skills and ability to work in a team.,₹11647 /month,1:1 mentorship from industry professionals.
MarketPulse Insights,Web Development,"CSS, JavaScript, Node.js, REST APIs",Yes,4–6 months,Full-Stack Web Intern,Pune,hybrid,College projects or mini-projects in related areas is a plus.,₹17613 /month,1:1 mentorship from industry professionals.
NeuroGrid AI,Data Science,"NumPy, Scikit-Learn, Power BI, SQL",Yes,3 months,Data Science Intern,Coimbatore,onsite,College projects or mini-projects in related areas is a plus.,₹5947 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,Cloud Computing,"CI/CD, AWS, Kubernetes, Docker",No,2 months,Cloud Engineer Intern,Noida,hybrid,Basic understanding of industry tools used in Cloud Computing.,₹0 /month,Access to internal learning resources and workshops.
SecureGate Cyber,Cloud Computing,"Docker, CI/CD, AWS, Linux",Yes,2 months,Cloud Engineer Intern,Chennai,onsite,Basic understanding of industry tools used in Cloud Computing.,₹23851 /month,Opportunity to work on live client projects.
WebWorks Studio,Business Analytics,"SQL, Power BI, Storytelling, Tableau",Yes,4–6 months,Business Analyst Intern,Chennai,hybrid,Basic understanding of industry tools used in Business Analytics.,₹6537 /month,Team outings and hackathon-style sprints.
CloudNova Tech,Mobile Development,"Android, Firebase, Dart, REST APIs",Yes,4–6 months,Flutter Developer Intern,Pune,remote,Strong fundamentals in Mobile Development and willingness to learn.,₹4376 /month,Certificate and Letter of Recommendation.
PixelCraft Studios,Cybersecurity,"OWASP Top 10, Python, Networking, Burp Suite",Yes,6 months,Cybersecurity Intern,Coimbatore,onsite,Strong fundamentals in Cybersecurity and willingness to learn.,₹11658 /month,Access to internal learning resources and workshops.
BrightPath Solutions,DevOps,"Docker, Linux, GitHub Actions, CI/CD",Yes,2 months,SRE Intern,Kochi,onsite,Strong fundamentals in DevOps and willingness to learn.,₹4374 /month,Opportunity to work on live client projects.
WebWorks Studio,Cybersecurity,"Kali Linux, Python, Networking, OWASP Top 10",Yes,3 months,Security Analyst Intern,Hyderabad,remote,Good communication skills and ability to work in a team.,₹20158 /month,Certificate and Letter of Recommendation.
GreenStack Innovations,Web Development,"Node.js, REST APIs, React, JavaScript",Yes,6 months,Frontend Web Intern,Noida,onsite,Strong fundamentals in Web Development and willingness to learn.,₹3650 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,Cloud Computing,"CI/CD, AWS, Linux, Kubernetes",No,2 months,Cloud Engineer Intern,Chennai,remote,Strong fundamentals in Cloud Computing and willingness to learn.,₹0 /month,Opportunity to work on live client projects.
BlueSky Digital,Mobile Development,"REST APIs, Flutter, Android, Firebase",Yes,4–6 months,Mobile App Intern,Remote,onsite,Basic understanding of industry tools used in Mobile Development.,₹6170 /month,Chance for Pre-Placement Offer (PPO) based on performance.
DataForge Labs,Mobile Development,"Flutter, REST APIs, Firebase, Android",Yes,3 months,Mobile App Intern,Pune,onsite,Strong fundamentals in Mobile Development and willingness to learn.,₹13110 /month,Chance for Pre-Placement Offer (PPO) based on performance.
PixelCraft Studios,AI & Robotics,"OpenCV, Embedded Systems, ROS, Python",Yes,3 months,Robotics Intern,Delhi,hybrid,Good communication skills and ability to work in a team.,₹5312 /month,1:1 mentorship from industry professionals.
CyberMatrix Security,Mobile Development,"REST APIs, Android, Firebase, Flutter",Yes,4–6 months,Mobile App Intern,Bengaluru,hybrid,College projects or mini-projects in related areas is a plus.,₹22276 /month,Opportunity to work on live client projects.
FinTrack Analytics,Web Development,"CSS, REST APIs, HTML, JavaScript",Yes,6 months,Frontend Web Intern,Remote,hybrid,Good communication skills and ability to work in a team.,₹13311 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,Data Science,"Scikit-Learn, Power BI, SQL, NumPy",Yes,2 months,Data Science Intern,Kochi,onsite,College projects or mini-projects in related areas is a plus.,₹7490 /month,Team outings and hackathon-style sprints.
HealthSync Systems,Cloud Computing,"CI/CD, Linux, AWS, Docker",Yes,6 months,Cloud Intern,Remote,onsite,Strong fundamentals in Cloud Computing and willingness to learn.,₹12470 /month,Opportunity to work on live client projects.
WebWorks Studio,Business Analytics,"SQL, Tableau, Excel, Power BI",Yes,4–6 months,Business Analyst Intern,Coimbatore,hybrid,"Comfortable with SQL, Tableau, Excel, Power BI and basic problem solving.",₹7592 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,Web Development,"HTML, REST APIs, CSS, Node.js",Yes,6 months,Full-Stack Web Intern,Noida,hybrid,Strong fundamentals in Web Development and willingness to learn.,₹16941 /month,1:1 mentorship from industry professionals.
DataForge Labs,Cybersecurity,"OWASP Top 10, Burp Suite, Kali Linux, Networking",Yes,4–6 months,Security Analyst Intern,Bengaluru,remote,Basic understanding of industry tools used in Cybersecurity.,₹3909 /month,Certificate and Letter of Recommendation.
CyberMatrix Security,Cloud Computing,"Linux, Kubernetes, Docker, CI/CD",Yes,4–6 months,Cloud Intern,Pune,hybrid,College projects or mini-projects in related areas is a plus.,₹22507 /month,Access to internal learning resources and workshops.
PixelCraft Studios,DevOps,"Docker, Kubernetes, Linux, CI/CD",Yes,6 months,DevOps Intern,Kochi,remote,College projects or mini-projects in related areas is a plus.,₹4843 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,AI & Robotics,"Python, OpenCV, Embedded Systems, ROS",Yes,2 months,AI Research Intern,Chennai,remote,"Comfortable with Python, OpenCV, Embedded Systems, ROS and basic problem solving.",₹7188 /month,1:1 mentorship from industry professionals.
NeuroGrid AI,AI & Robotics,"Embedded Systems, OpenCV, ROS, Python",Yes,4–6 months,Robotics Intern,Chennai,onsite,College projects or mini-projects in related areas is a plus.,₹14529 /month,1:1 mentorship from industry professionals.
BlueSky Digital,Data Science,"Pandas, Scikit-Learn, SQL, Python",Yes,4–6 months,Data Science Intern,Delhi,remote,Basic understanding of industry tools used in Data Science.,₹16161 /month,Chance for Pre-Placement Offer (PPO) based on performance.
SecureGate Cyber,Cloud Computing,"Linux, Docker, AWS, Kubernetes",No,2 months,Cloud Engineer Intern,Hyderabad,onsite,Basic understanding of industry tools used in Cloud Computing.,₹0 /month,Access to internal learning resources and workshops.
FinTrack Analytics,AI & Robotics,"ROS, OpenCV, Python, Embedded Systems",Yes,6 months,Robotics Intern,Chennai,remote,College projects or mini-projects in related areas is a plus.,₹5776 /month,Chance for Pre-Placement Offer (PPO) based on performance.
GreenStack Innovations,Business Analytics,"Power BI, Tableau, SQL, Excel",No,6 months,Business Analyst Intern,Chennai,hybrid,"Comfortable with Power BI, Tableau, SQL, Excel and basic problem solving.",₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
NeuroGrid AI,Data Science,"Pandas, Power BI, NumPy, Python",Yes,4–6 months,Data Science Intern,Noida,remote,College projects or mini-projects in related areas is a plus.,₹9075 /month,Access to internal learning resources and workshops.
GreenStack Innovations,Business Analytics,"Tableau, Storytelling, Excel, SQL",Yes,6 months,Analytics Intern,Mumbai,remote,College projects or mini-projects in related areas is a plus.,₹20225 /month,1:1 mentorship from industry professionals.
SecureGate Cyber,UI/UX,"Prototyping, Figma, Wireframing, User Research",Yes,3 months,UI/UX Design Intern,Delhi,hybrid,College projects or mini-projects in related areas is a plus.,₹6872 /month,Team outings and hackathon-style sprints.
OrbitSoft,Cloud Computing,"CI/CD, Docker, Kubernetes, Linux",Yes,4–6 months,Cloud Engineer Intern,Pune,remote,Good communication skills and ability to work in a team.,₹10290 /month,Team outings and hackathon-style sprints.
OrbitSoft,Cloud Computing,"AWS, Docker, CI/CD, Linux",Yes,4–6 months,Cloud Engineer Intern,Mumbai,remote,"Comfortable with AWS, Docker, CI/CD, Linux and basic problem solving.",₹7975 /month,Flexible working hours and remote-friendly culture.
MarketPulse Insights,DevOps,"Linux, Kubernetes, CI/CD, Docker",No,4–6 months,SRE Intern,Bengaluru,remote,Basic understanding of industry tools used in DevOps.,₹0 /month,Opportunity to work on live client projects.
OrbitSoft,Web Development,"Node.js, JavaScript, React, HTML",Yes,6 months,Frontend Web Intern,Remote,onsite,Strong fundamentals in Web Development and willingness to learn.,₹17618 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,Cloud Computing,"Kubernetes, CI/CD, AWS, Linux",Yes,6 months,Cloud Engineer Intern,Hyderabad,hybrid,Good communication skills and ability to work in a team.,₹23723 /month,Flexible working hours and remote-friendly culture.
SecureGate Cyber,Web Development,"Node.js, REST APIs, JavaScript, HTML",Yes,3 months,Full-Stack Web Intern,Mumbai,remote,"Comfortable with Node.js, REST APIs, JavaScript, HTML and basic problem solving.",₹4793 /month,Team outings and hackathon-style sprints.
BlueSky Digital,Machine Learning,"Scikit-Learn, Python, MLflow, PyTorch",Yes,6 months,ML Engineer Intern,Mumbai,hybrid,Good communication skills and ability to work in a team.,₹4545 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Cloud Computing,"Kubernetes, CI/CD, AWS, Docker",Yes,3 months,Cloud Engineer Intern,Mumbai,onsite,Good communication skills and ability to work in a team.,₹17176 /month,Team outings and hackathon-style sprints.
PixelCraft Studios,Machine Learning,"Python, Scikit-Learn, TensorFlow, PyTorch",Yes,3 months,ML Engineer Intern,Coimbatore,onsite,College projects or mini-projects in related areas is a plus.,₹7299 /month,Access to internal learning resources and workshops.
BrightPath Solutions,Cloud Computing,"AWS, CI/CD, Linux, Kubernetes",Yes,3 months,Cloud Intern,Mumbai,remote,"Comfortable with AWS, CI/CD, Linux, Kubernetes and basic problem solving.",₹6110 /month,Team outings and hackathon-style sprints.
MarketPulse Insights,Cloud Computing,"Linux, Kubernetes, AWS, Docker",Yes,2 months,Cloud Engineer Intern,Coimbatore,hybrid,Strong fundamentals in Cloud Computing and willingness to learn.,₹4619 /month,Certificate and Letter of Recommendation.
CyberMatrix Security,Web Development,"React, CSS, REST APIs, HTML",Yes,4–6 months,Frontend Web Intern,Coimbatore,onsite,Strong fundamentals in Web Development and willingness to learn.,₹4265 /month,Chance for Pre-Placement Offer (PPO) based on performance.
FinTrack Analytics,DevOps,"Kubernetes, GitHub Actions, CI/CD, Docker",Yes,3 months,SRE Intern,Remote,onsite,Good communication skills and ability to work in a team.,₹3735 /month,1:1 mentorship from industry professionals.
CyberMatrix Security,Machine Learning,"Python, MLflow, Scikit-Learn, PyTorch",Yes,3 months,ML Engineer Intern,Pune,hybrid,Good communication skills and ability to work in a team.,₹24545 /month,1:1 mentorship from industry professionals.
NeuroGrid AI,Cybersecurity,"Networking, Kali Linux, OWASP Top 10, Python",Yes,6 months,Cybersecurity Intern,Delhi,onsite,College projects or mini-projects in related areas is a plus.,₹23626 /month,Certificate and Letter of Recommendation.
MarketPulse Insights,Web Development,"HTML, React, REST APIs, JavaScript",Yes,4–6 months,Full-Stack Web Intern,Chennai,hybrid,Basic understanding of industry tools used in Web Development.,₹22784 /month,Chance for Pre-Placement Offer (PPO) based on performance.
HealthSync Systems,UI/UX,"Prototyping, Figma, User Research, Wireframing",Yes,4–6 months,UI/UX Design Intern,Chennai,hybrid,"Comfortable with Prototyping, Figma, User Research, Wireframing and basic problem solving.",₹5576 /month,Certificate and Letter of Recommendation.
WebWorks Studio,Data Science,"Pandas, NumPy, Python, SQL",Yes,2 months,Data Science Intern,Remote,hybrid,Strong fundamentals in Data Science and willingness to learn.,₹12800 /month,Access to internal learning resources and workshops.
BlueSky Digital,AI & Robotics,"Embedded Systems, Python, OpenCV, ROS",Yes,4–6 months,Robotics Intern,Kochi,remote,"Comfortable with Embedded Systems, Python, OpenCV, ROS and basic problem solving.",₹6493 /month,1:1 mentorship from industry professionals.
OrbitSoft,DevOps,"GitHub Actions, Linux, Kubernetes, Docker",Yes,2 months,DevOps Intern,Coimbatore,remote,Strong fundamentals in DevOps and willingness to learn.,₹7161 /month,Access to internal learning resources and workshops.
GreenStack Innovations,Cybersecurity,"Kali Linux, OWASP Top 10, Burp Suite, Networking",Yes,2 months,Cybersecurity Intern,Hyderabad,remote,"Comfortable with Kali Linux, OWASP Top 10, Burp Suite, Networking and basic problem solving.",₹5310 /month,Chance for Pre-Placement Offer (PPO) based on performance.
AI Nexus Research,Business Analytics,"Excel, Power BI, Tableau, Storytelling",Yes,6 months,Business Analyst Intern,Pune,remote,Basic understanding of industry tools used in Business Analytics.,₹8450 /month,Certificate and Letter of Recommendation.
DataForge Labs,Cloud Computing,"AWS, Docker, Kubernetes, CI/CD",Yes,4–6 months,Cloud Intern,Remote,onsite,"Comfortable with AWS, Docker, Kubernetes, CI/CD and basic problem solving.",₹7248 /month,Team outings and hackathon-style sprints.
BrightPath Solutions,AI & Robotics,"OpenCV, Python, ROS, Embedded Systems",Yes,2 months,AI Research Intern,Remote,hybrid,Good communication skills and ability to work in a team.,₹12996 /month,Access to internal learning resources and workshops.
MarketPulse Insights,Data Science,"NumPy, Python, SQL, Pandas",Yes,4–6 months,Data Analyst Intern,Coimbatore,remote,"Comfortable with NumPy, Python, SQL, Pandas and basic problem solving.",₹24715 /month,1:1 mentorship from industry professionals.
BlueSky Digital,AI & Robotics,"Python, OpenCV, Embedded Systems, ROS",Yes,2 months,Robotics Intern,Chennai,onsite,Strong fundamentals in AI & Robotics and willingness to learn.,₹9050 /month,Access to internal learning resources and workshops.
SecureGate Cyber,Data Science,"Power BI, Scikit-Learn, Python, SQL",Yes,4–6 months,Data Analyst Intern,Delhi,remote,Good communication skills and ability to work in a team.,₹13801 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BrightPath Solutions,Cloud Computing,"Kubernetes, AWS, CI/CD, Docker",Yes,6 months,Cloud Intern,Noida,onsite,Strong fundamentals in Cloud Computing and willingness to learn.,₹6638 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,UI/UX,"User Research, Wireframing, Figma, Prototyping",No,4–6 months,UI/UX Design Intern,Delhi,remote,Basic understanding of industry tools used in UI/UX.,₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
HealthSync Systems,AI & Robotics,"OpenCV, Python, Embedded Systems, ROS",Yes,4–6 months,AI Research Intern,Hyderabad,onsite,College projects or mini-projects in related areas is a plus.,₹14175 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,Business Analytics,"SQL, Power BI, Tableau, Storytelling",Yes,3 months,Business Analyst Intern,Chennai,remote,Basic understanding of industry tools used in Business Analytics.,₹3024 /month,1:1 mentorship from industry professionals.
DataForge Labs,Cloud Computing,"Docker, CI/CD, AWS, Linux",No,4–6 months,Cloud Intern,Remote,hybrid,Basic understanding of industry tools used in Cloud Computing.,₹0 /month,1:1 mentorship from industry professionals.
MarketPulse Insights,Data Science,"SQL, NumPy, Scikit-Learn, Python",Yes,6 months,Data Science Intern,Chennai,remote,"Comfortable with SQL, NumPy, Scikit-Learn, Python and basic problem solving.",₹7785 /month,1:1 mentorship from industry professionals.
PixelCraft Studios,UI/UX,"Figma, Prototyping, Wireframing, User Research",Yes,3 months,UI/UX Design Intern,Mumbai,remote,Strong fundamentals in UI/UX and willingness to learn.,₹3191 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BlueSky Digital,Data Science,"SQL, Pandas, Scikit-Learn, NumPy",Yes,6 months,Data Analyst Intern,Coimbatore,onsite,Good communication skills and ability to work in a team.,₹7793 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,DevOps,"CI/CD, Kubernetes, GitHub Actions, Linux",Yes,3 months,SRE Intern,Delhi,remote,College projects or mini-projects in related areas is a plus.,₹3205 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Machine Learning,"TensorFlow, MLflow, PyTorch, Python",No,3 months,ML Engineer Intern,Delhi,remote,Strong fundamentals in Machine Learning and willingness to learn.,₹0 /month,Opportunity to work on live client projects.
BrightPath Solutions,Machine Learning,"Scikit-Learn, MLflow, TensorFlow, PyTorch",Yes,6 months,ML Engineer Intern,Kochi,onsite,Basic understanding of industry tools used in Machine Learning.,₹4928 /month,Access to internal learning resources and workshops.
SecureGate Cyber,Business Analytics,"Tableau, SQL, Power BI, Excel",No,6 months,Analytics Intern,Pune,onsite,Good communication skills and ability to work in a team.,₹0 /month,Certificate and Letter of Recommendation.
MarketPulse Insights,DevOps,"CI/CD, Kubernetes, Linux, Docker",No,6 months,DevOps Intern,Delhi,onsite,Good communication skills and ability to work in a team.,₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BlueSky Digital,DevOps,"CI/CD, Docker, GitHub Actions, Linux",Yes,2 months,SRE Intern,Bengaluru,hybrid,Strong fundamentals in DevOps and willingness to learn.,₹3005 /month,Chance for Pre-Placement Offer (PPO) based on performance.
GreenStack Innovations,AI & Robotics,"OpenCV, Embedded Systems, ROS, Python",Yes,3 months,AI Research Intern,Kochi,onsite,"Comfortable with OpenCV, Embedded Systems, ROS, Python and basic problem solving.",₹22149 /month,Flexible working hours and remote-friendly culture.
BlueSky Digital,Business Analytics,"Storytelling, Excel, Tableau, SQL",Yes,6 months,Business Analyst Intern,Noida,remote,Good communication skills and ability to work in a team.,₹8970 /month,Chance for Pre-Placement Offer (PPO) based on performance.
DataForge Labs,Cloud Computing,"AWS, Kubernetes, Docker, Linux",Yes,4–6 months,Cloud Engineer Intern,Pune,onsite,"Comfortable with AWS, Kubernetes, Docker, Linux and basic problem solving.",₹11405 /month,Opportunity to work on live client projects.
