name,domains,skills,paid,duration,role,location,mode,prerequisites,stipend,other
AI Nexus Research,Machine Learning,"Python, TensorFlow, Scikit-Learn, PyTorch",Yes,6 months,AI Intern,Chennai,hybrid,Good communication skills and ability to work in a team.,₹6299 /month,Flexible working hours and remote-friendly culture.
PixelCraft Studios,Mobile Development,"Flutter, Dart, Android, REST APIs",No,2 months,Mobile App Intern,Noida,hybrid,Basic understanding of industry tools used in Mobile Development.,₹0 /month,1:1 mentorship from industry professionals.
NeuroGrid AI,Web Development,"CSS, Node.js, REST APIs, React",Yes,6 months,Frontend Web Intern,Delhi,onsite,Strong fundamentals in Web Development and willingness to learn.,₹9150 /month,Chance for Pre-Placement Offer (PPO) based on performance.
CloudNova Tech,Machine Learning,"PyTorch, MLflow, Scikit-Learn, Python",Yes,6 months,AI Intern,Noida,remote,Basic understanding of industry tools used in Machine Learning.,₹3447 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,Mobile Development,"Dart, Android, Flutter, REST APIs",Yes,4–6 months,Mobile App Intern,Mumbai,remote,Good communication skills and ability to work in a team.,₹19898 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Data Science,"Scikit-Learn, Power BI, SQL, Python",Yes,4–6 months,Data Science Intern,Pune,onsite,Good communication skills and ability to work in a team.,₹4680 /month,Access to internal learning resources and workshops.
FinTrack Analytics,Business Analytics,"Power BI, Excel, Tableau, SQL",Yes,3 months,Analytics Intern,Hyderabad,hybrid,Strong fundamentals in Business Analytics and willingness to learn.,₹3889 /month,Access to internal learning resources and workshops.
WebWorks Studio,UI/UX,"Wireframing, Figma, Prototyping, User Research",Yes,6 months,UI/UX Design Intern,Hyderabad,onsite,"Comfortable with Wireframing, Figma, Prototyping, User Research and basic problem solving.",₹12915 /month,Certificate and Letter of Recommendation.
CyberMatrix Security,DevOps,"Linux, GitHub Actions, Kubernetes, Docker",Yes,6 months,DevOps Intern,Remote,hybrid,Strong fundamentals in DevOps and willingness to learn.,₹4756 /month,1:1 mentorship from industry professionals.
GreenStack Innovations,Machine Learning,"PyTorch, Python, MLflow, TensorFlow",No,4–6 months,ML Engineer Intern,Delhi,hybrid,Strong fundamentals in Machine Learning and willingness to learn.,₹0 /month,1:1 mentorship from industry professionals.
BlueSky Digital,Data Science,"Pandas, Power BI, NumPy, Python",Yes,4–6 months,Data Analyst Intern,Coimbatore,hybrid,College projects or mini-projects in related areas is a plus.,₹4035 /month,1:1 mentorship from industry professionals.
SecureGate Cyber,Data Science,"SQL, Python, Scikit-Learn, NumPy",Yes,3 months,Data Science Intern,Remote,hybrid,Good communication skills and ability to work in a team.,₹3661 /month,Flexible working hours and remote-friendly culture.
AI Nexus Research,Machine Learning,"Python, Scikit-Learn, PyTorch, MLflow",Yes,4–6 months,AI Intern,Kochi,remote,"Comfortable with Python, Scikit-Learn, PyTorch, MLflow and basic problem solving.",₹5760 /month,Chance for Pre-Placement Offer (PPO) based on performance.
MarketPulse Insights,Cloud Computing,"Kubernetes, Linux, CI/CD, AWS",Yes,4–6 months,Cloud Intern,Coimbatore,hybrid,"Comfortable with Kubernetes, Linux, CI/CD, AWS and basic problem solving.",₹24200 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,AI & Robotics,"Embedded Systems, Python, OpenCV, ROS",Yes,4–6 months,AI Research Intern,Hyderabad,hybrid,Basic understanding of industry tools used in AI & Robotics.,₹4006 /month,Certificate and Letter of Recommendation.
HealthSync Systems,UI/UX,"User Research, Wireframing, Prototyping, Figma",Yes,3 months,UI/UX Design Intern,Mumbai,hybrid,"Comfortable with User Research, Wireframing, Prototyping, Figma and basic problem solving.",₹4829 /month,1:1 mentorship from industry professionals.
CyberMatrix Security,Mobile Development,"Firebase, REST APIs, Flutter, Dart",Yes,4–6 months,Mobile App Intern,Delhi,hybrid,Basic understanding of industry tools used in Mobile Development.,₹4535 /month,1:1 mentorship from industry professionals.
HealthSync Systems,Web Development,"HTML, JavaScript, Node.js, CSS",No,6 months,Frontend Web Intern,Bengaluru,onsite,Basic understanding of industry tools used in Web Development.,₹0 /month,Opportunity to work on live client projects.
GreenStack Innovations,Machine Learning,"Python, TensorFlow, PyTorch, Scikit-Learn",Yes,2 months,AI Intern,Kochi,hybrid,"Comfortable with Python, TensorFlow, PyTorch, Scikit-Learn and basic problem solving.",₹4538 /month,Team outings and hackathon-style sprints.
HealthSync Systems,AI & Robotics,"OpenCV, ROS, Python, Embedded Systems",No,6 months,Robotics Intern,Bengaluru,hybrid,Good communication skills and ability to work in a team.,₹0 /month,Certificate and Letter of Recommendation.
AI Nexus Research,Cloud Computing,"Linux, CI/CD, Docker, AWS",Yes,3 months,Cloud Intern,Remote,onsite,Strong fundamentals in Cloud Computing and willingness to learn.,₹7801 /month,1:1 mentorship from industry professionals.
BlueSky Digital,Web Development,"HTML, React, JavaScript, Node.js",Yes,6 months,Frontend Web Intern,Delhi,hybrid,Good communication skills and ability to work in a team.,₹21626 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BlueSky Digital,Machine Learning,"PyTorch, Python, TensorFlow, MLflow",Yes,6 months,ML Engineer Intern,Bengaluru,hybrid,"Comfortable with PyTorch, Python, TensorFlow, MLflow and basic problem solving.",₹21428 /month,Access to internal learning resources and workshops.
BlueSky Digital,Mobile Development,"Firebase, REST APIs, Dart, Flutter",Yes,2 months,Flutter Developer Intern,Kochi,onsite,College projects or mini-projects in related areas is a plus.,₹12528 /month,Flexible working hours and remote-friendly culture.
WebWorks Studio,UI/UX,"User Research, Figma, Wireframing, Prototyping",Yes,4–6 months,UI/UX Design Intern,Hyderabad,onsite,Good communication skills and ability to work in a team.,₹21507 /month,Opportunity to work on live client projects.
WebWorks Studio,Machine Learning,"TensorFlow, PyTorch, Python, Scikit-Learn",Yes,3 months,ML Engineer Intern,Kochi,onsite,Strong fundamentals in Machine Learning and willingness to learn.,₹24505 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,Web Development,"HTML, Node.js, React, CSS",No,2 months,Full-Stack Web Intern,Kochi,remote,"Comfortable with HTML, Node.js, React, CSS and basic problem solving.",₹0 /month,Flexible working hours and remote-friendly culture.
AI Nexus Research,DevOps,"GitHub Actions, CI/CD, Kubernetes, Linux",Yes,4–6 months,SRE Intern,Chennai,hybrid,"Comfortable with GitHub Actions, CI/CD, Kubernetes, Linux and basic problem solving.",₹6841 /month,Certificate and Letter of Recommendation.
AI Nexus Research,Machine Learning,"PyTorch, TensorFlow, Scikit-Learn, MLflow",Yes,4–6 months,ML Engineer Intern,Noida,onsite,Basic understanding of industry tools used in Machine Learning.,₹11544 /month,Access to internal learning resources and workshops.
DataForge Labs,Cloud Computing,"CI/CD, Kubernetes, AWS, Docker",No,3 months,Cloud Engineer Intern,Kochi,hybrid,Strong fundamentals in Cloud Computing and willingness to learn.,₹0 /month,Flexible working hours and remote-friendly culture.
CyberMatrix Security,Cybersecurity,"Kali Linux, Python, Networking, OWASP Top 10",No,3 months,Security Analyst Intern,Coimbatore,onsite,Strong fundamentals in Cybersecurity and willingness to learn.,₹0 /month,Access to internal learning resources and workshops.
CyberMatrix Security,Web Development,"JavaScript, REST APIs, HTML, Node.js",Yes,2 months,Frontend Web Intern,Mumbai,hybrid,"Comfortable with JavaScript, REST APIs, HTML, Node.js and basic problem solving.",₹3770 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,Cybersecurity,"OWASP Top 10, Burp Suite, Kali Linux, Networking",Yes,3 months,Security Analyst Intern,Pune,hybrid,College projects or mini-projects in related areas is a plus.,₹4490 /month,Opportunity to work on live client projects.
AI Nexus Research,Web Development,"HTML, React, JavaScript, Node.js",No,6 months,Frontend Web Intern,Kochi,onsite,Basic understanding of industry tools used in Web Development.,₹0 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,UI/UX,"Wireframing, User Research, Prototyping, Figma",No,3 months,UI/UX Design Intern,Hyderabad,remote,College projects or mini-projects in related areas is a plus.,₹0 /month,Team outings and hackathon-style sprints.
SecureGate Cyber,DevOps,"Kubernetes, CI/CD, Docker, GitHub Actions",Yes,2 months,DevOps Intern,Pune,remote,Good communication skills and ability to work in a team.,₹6594 /month,Team outings and hackathon-style sprints.
DataForge Labs,Web Development,"CSS, Node.js, REST APIs, JavaScript",Yes,3 months,Frontend Web Intern,Mumbai,onsite,Good communication skills and ability to work in a team.,₹13013 /month,Chance for Pre-Placement Offer (PPO) based on performance.
CyberMatrix Security,AI & Robotics,"OpenCV, Python, Embedded Systems, ROS",Yes,2 months,AI Research Intern,Chennai,remote,Good communication skills and ability to work in a team.,₹10486 /month,Opportunity to work on live client projects.
HealthSync Systems,UI/UX,"Wireframing, User Research, Figma, Prototyping",Yes,2 months,UI/UX Design Intern,Kochi,hybrid,College projects or mini-projects in related areas is a plus.,₹5963 /month,Access to internal learning resources and workshops.
FinTrack Analytics,Cybersecurity,"Kali Linux, Python, Networking, OWASP Top 10",Yes,6 months,Cybersecurity Intern,Delhi,remote,Strong fundamentals in Cybersecurity and willingness to learn.,₹7909 /month,Team outings and hackathon-style sprints.
BlueSky Digital,Cloud Computing,"Docker, Kubernetes, CI/CD, Linux",Yes,3 months,Cloud Intern,Noida,remote,"Comfortable with Docker, Kubernetes, CI/CD, Linux and basic problem solving.",₹7213 /month,1:1 mentorship from industry professionals.
DataForge Labs,Data Science,"Python, SQL, NumPy, Scikit-Learn",Yes,4–6 months,Data Science Intern,Bengaluru,onsite,Basic understanding of industry tools used in Data Science.,₹4642 /month,Team outings and hackathon-style sprints.
DataForge Labs,Machine Learning,"TensorFlow, PyTorch, Scikit-Learn, MLflow",Yes,2 months,AI Intern,Mumbai,hybrid,Strong fundamentals in Machine Learning and willingness to learn.,₹3846 /month,Team outings and hackathon-style sprints.
CyberMatrix Security,UI/UX,"Prototyping, User Research, Figma, Wireframing",Yes,2 months,UI/UX Design Intern,Noida,hybrid,Good communication skills and ability to work in a team.,₹6110 /month,Flexible working hours and remote-friendly culture.
CyberMatrix Security,Machine Learning,"PyTorch, TensorFlow, Scikit-Learn, MLflow",Yes,2 months,ML Engineer Intern,Mumbai,hybrid,"Comfortable with PyTorch, TensorFlow, Scikit-Learn, MLflow and basic problem solving.",₹5827 /month,Certificate and Letter of Recommendation.
MarketPulse Insights,Cloud Computing,"AWS, Linux, Docker, Kubernetes",Yes,3 months,Cloud Intern,Noida,remote,Basic understanding of industry tools used in Cloud Computing.,₹6147 /month,Access to internal learning resources and workshops.
CloudNova Tech,Cybersecurity,"Kali Linux, OWASP Top 10, Networking, Python",No,2 months,Cybersecurity Intern,Delhi,hybrid,"Comfortable with Kali Linux, OWASP Top 10, Networking, Python and basic problem solving.",₹0 /month,Flexible working hours and remote-friendly culture.
BrightPath Solutions,Cybersecurity,"Kali Linux, OWASP Top 10, Networking, Python",No,3 months,Security Analyst Intern,Chennai,hybrid,College projects or mini-projects in related areas is a plus.,₹0 /month,1:1 mentorship from industry professionals.
AI Nexus Research,Web Development,"CSS, React, REST APIs, HTML",Yes,2 months,Full-Stack Web Intern,Noida,onsite,Good communication skills and ability to work in a team.,₹21625 /month,1:1 mentorship from industry professionals.
BlueSky Digital,DevOps,"GitHub Actions, Docker, Kubernetes, Linux",Yes,3 months,DevOps Intern,Remote,remote,College projects or mini-projects in related areas is a plus.,₹6084 /month,Opportunity to work on live client projects.
CloudNova Tech,Data Science,"Pandas, Power BI, NumPy, Scikit-Learn",No,3 months,Data Science Intern,Mumbai,hybrid,Basic understanding of industry tools used in Data Science.,₹0 /month,Flexible working hours and remote-friendly culture.
AI Nexus Research,DevOps,"CI/CD, Docker, Kubernetes, GitHub Actions",No,6 months,DevOps Intern,Pune,remote,Strong fundamentals in DevOps and willingness to learn.,₹0 /month,Flexible working hours and remote-friendly culture.
OrbitSoft,Cybersecurity,"Kali Linux, OWASP Top 10, Python, Networking",Yes,4–6 months,Cybersecurity Intern,Delhi,onsite,"Comfortable with Kali Linux, OWASP Top 10, Python, Networking and basic problem solving.",₹14610 /month,Access to internal learning resources and workshops.
SecureGate Cyber,Cybersecurity,"OWASP Top 10, Python, Networking, Kali Linux",No,3 months,Security Analyst Intern,Coimbatore,remote,Strong fundamentals in Cybersecurity and willingness to learn.,₹0 /month,Flexible working hours and remote-friendly culture.
FinTrack Analytics,AI & Robotics,"Python, OpenCV, Embedded Systems, ROS",Yes,6 months,Robotics Intern,Coimbatore,onsite,College projects or mini-projects in related areas is a plus.,₹6165 /month,Certificate and Letter of Recommendation.
MarketPulse Insights,Mobile Development,"REST APIs, Firebase, Dart, Android",Yes,4–6 months,Mobile App Intern,Coimbatore,remote,Good communication skills and ability to work in a team.,₹7776 /month,1:1 mentorship from industry professionals.
GreenStack Innovations,Machine Learning,"Scikit-Learn, TensorFlow, MLflow, PyTorch",Yes,3 months,ML Engineer Intern,Pune,remote,College projects or mini-projects in related areas is a plus.,₹14455 /month,Certificate and Letter of Recommendation.
FinTrack Analytics,Machine Learning,"Scikit-Learn, TensorFlow, Python, MLflow",No,3 months,AI Intern,Remote,remote,"Comfortable with Scikit-Learn, TensorFlow, Python, MLflow and basic problem solving.",₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
DataForge Labs,Machine Learning,"Scikit-Learn, PyTorch, MLflow, Python",Yes,6 months,AI Intern,Pune,onsite,Basic understanding of industry tools used in Machine Learning.,₹13425 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,Cybersecurity,"Python, Networking, OWASP Top 10, Burp Suite",No,2 months,Cybersecurity Intern,Hyderabad,remote,Strong fundamentals in Cybersecurity and willingness to learn.,₹0 /month,Opportunity to work on live client projects.
OrbitSoft,UI/UX,"User Research, Wireframing, Figma, Prototyping",Yes,4–6 months,UI/UX Design Intern,Noida,remote,Basic understanding of industry tools used in UI/UX.,₹3577 /month,Access to internal learning resources and workshops.
OrbitSoft,Cybersecurity,"Kali Linux, Networking, Burp Suite, Python",Yes,2 months,Security Analyst Intern,Delhi,onsite,College projects or mini-projects in related areas is a plus.,₹5629 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,Business Analytics,"Excel, SQL, Power BI, Tableau",Yes,3 months,Business Analyst Intern,Delhi,remote,Strong fundamentals in Business Analytics and willingness to learn.,₹3528 /month,Team outings and hackathon-style sprints.
GreenStack Innovations,Business Analytics,"Storytelling, Power BI, Excel, SQL",No,2 months,Business Analyst Intern,Kochi,onsite,College projects or mini-projects in related areas is a plus.,₹0 /month,Access to internal learning resources and workshops.
OrbitSoft,Machine Learning,"Python, PyTorch, TensorFlow, Scikit-Learn",Yes,2 months,ML Engineer Intern,Chennai,onsite,"Comfortable with Python, PyTorch, TensorFlow, Scikit-Learn and basic problem solving.",₹20584 /month,1:1 mentorship from industry professionals.
SecureGate Cyber,Business Analytics,"Excel, Tableau, SQL, Power BI",No,2 months,Analytics Intern,Bengaluru,remote,Good communication skills and ability to work in a team.,₹0 /month,Team outings and hackathon-style sprints.
SecureGate Cyber,AI & Robotics,"Python, OpenCV, ROS, Embedded Systems",Yes,2 months,AI Research Intern,Chennai,remote,Basic understanding of industry tools used in AI & Robotics.,₹5290 /month,Flexible working hours and remote-friendly culture.
WebWorks Studio,Data Science,"NumPy, Pandas, SQL, Python",Yes,2 months,Data Science Intern,Coimbatore,hybrid,College projects or mini-projects in related areas is a plus.,₹6402 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Mobile Development,"REST APIs, Android, Dart, Flutter",Yes,6 months,Mobile App Intern,Coimbatore,onsite,Strong fundamentals in Mobile Development and willingness to learn.,₹4102 /month,Certificate and Letter of Recommendation.
CloudNova Tech,Mobile Development,"Android, Dart, REST APIs, Flutter",Yes,4–6 months,Mobile App Intern,Hyderabad,hybrid,College projects or mini-projects in related areas is a plus.,₹6103 /month,1:1 mentorship from industry professionals.
BlueSky Digital,Machine Learning,"Scikit-Learn, Python, MLflow, PyTorch",Yes,2 months,AI Intern,Noida,hybrid,Good communication skills and ability to work in a team.,₹5776 /month,Flexible working hours and remote-friendly culture.
GreenStack Innovations,DevOps,"CI/CD, Docker, Linux, Kubernetes",Yes,2 months,SRE Intern,Bengaluru,hybrid,Basic understanding of industry tools used in DevOps.,₹14605 /month,Certificate and Letter of Recommendation.
PixelCraft Studios,DevOps,"Linux, Kubernetes, GitHub Actions, Docker",Yes,3 months,DevOps Intern,Delhi,remote,"Comfortable with Linux, Kubernetes, GitHub Actions, Docker and basic problem solving.",₹10220 /month,Access to internal learning resources and workshops.
NeuroGrid AI,Web Development,"React, CSS, HTML, REST APIs",Yes,3 months,Full-Stack Web Intern,Pune,remote,Good communication skills and ability to work in a team.,₹4615 /month,Flexible working hours and remote-friendly culture.
CloudNova Tech,AI & Robotics,"OpenCV, Python, Embedded Systems, ROS",Yes,6 months,Robotics Intern,Mumbai,onsite,"Comfortable with OpenCV, Python, Embedded Systems, ROS and basic problem solving.",₹14515 /month,Flexible working hours and remote-friendly culture.
AI Nexus Research,Web Development,"CSS, HTML, React, REST APIs",No,6 months,Frontend Web Intern,Delhi,onsite,College projects or mini-projects in related areas is a plus.,₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
MarketPulse Insights,Data Science,"Pandas, NumPy, Scikit-Learn, Power BI",Yes,2 months,Data Analyst Intern,Remote,remote,Basic understanding of industry tools used in Data Science.,₹12427 /month,Team outings and hackathon-style sprints.
CyberMatrix Security,Cybersecurity,"Burp Suite, Networking, Python, Kali Linux",Yes,6 months,Security Analyst Intern,Pune,hybrid,Basic understanding of industry tools used in Cybersecurity.,₹5855 /month,Certificate and Letter of Recommendation.
MarketPulse Insights,Machine Learning,"TensorFlow, PyTorch, MLflow, Scikit-Learn",Yes,4–6 months,AI Intern,Remote,hybrid,College projects or mini-projects in related areas is a plus.,₹13149 /month,Access to internal learning resources and workshops.
HealthSync Systems,Business Analytics,"Power BI, Excel, SQL, Storytelling",Yes,3 months,Analytics Intern,Bengaluru,onsite,Good communication skills and ability to work in a team.,₹5123 /month,Chance for Pre-Placement Offer (PPO) based on performance.
WebWorks Studio,UI/UX,"Figma, Wireframing, User Research, Prototyping",Yes,2 months,UI/UX Design Intern,Pune,remote,Strong fundamentals in UI/UX and willingness to learn.,₹3178 /month,Flexible working hours and remote-friendly culture.
CyberMatrix Security,Business Analytics,"Storytelling, Power BI, Tableau, SQL",Yes,6 months,Analytics Intern,Bengaluru,hybrid,Good communication skills and ability to work in a team.,₹13351 /month,Team outings and hackathon-style sprints.
BrightPath Solutions,Business Analytics,"Storytelling, SQL, Excel, Tableau",Yes,6 months,Analytics Intern,Hyderabad,onsite,Good communication skills and ability to work in a team.,₹4409 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,Mobile Development,"Dart, REST APIs, Firebase, Android",Yes,4–6 months,Mobile App Intern,Mumbai,hybrid,Good communication skills and ability to work in a team.,₹5472 /month,Certificate and Letter of Recommendation.
AI Nexus Research,AI & Robotics,"Python, OpenCV, ROS, Embedded Systems",Yes,3 months,AI Research Intern,Chennai,hybrid,Strong fundamentals in AI & Robotics and willingness to learn.,₹4701 /month,Chance for Pre-Placement Offer (PPO) based on performance.
OrbitSoft,Business Analytics,"Power BI, Tableau, Storytelling, SQL",Yes,2 months,Analytics Intern,Bengaluru,onsite,Good communication skills and ability to work in a team.,₹4325 /month,Team outings and hackathon-style sprints.
BlueSky Digital,AI & Robotics,"Embedded Systems, Python, ROS, OpenCV",Yes,4–6 months,Robotics Intern,Pune,hybrid,College projects or mini-projects in related areas is a plus.,₹19314 /month,Flexible working hours and remote-friendly culture.
FinTrack Analytics,Cloud Computing,"CI/CD, Kubernetes, Linux, Docker",No,2 months,Cloud Intern,Remote,remote,Good communication skills and ability to work in a team.,₹0 /month,Access to internal learning resources and workshops.
MarketPulse Insights,Cloud Computing,"Kubernetes, Docker, Linux, CI/CD",Yes,2 months,Cloud Intern,Mumbai,hybrid,Good communication skills and ability to work in a team.,₹5884 /month,Access to internal learning resources and workshops.
AI Nexus Research,Mobile Development,"Firebase, Android, Dart, REST APIs",Yes,3 months,Flutter Developer Intern,Pune,remote,Good communication skills and ability to work in a team.,₹3206 /month,Opportunity to work on live client projects.
WebWorks Studio,Cybersecurity,"Networking, Burp Suite, Python, Kali Linux",Yes,6 months,Security Analyst Intern,Noida,onsite,Good communication skills and ability to work in a team.,₹14420 /month,Flexible working hours and remote-friendly culture.
BlueSky Digital,DevOps,"Linux, GitHub Actions, CI/CD, Docker",Yes,2 months,SRE Intern,Delhi,remote,Basic understanding of industry tools used in DevOps.,₹9555 /month,Flexible working hours and remote-friendly culture.
SecureGate Cyber,Cloud Computing,"CI/CD, Kubernetes, AWS, Docker",Yes,4–6 months,Cloud Intern,Hyderabad,remote,"Comfortable with CI/CD, Kubernetes, AWS, Docker and basic problem solving.",₹3484 /month,Chance for Pre-Placement Offer (PPO) based on performance.
MarketPulse Insights,Cybersecurity,"Python, Burp Suite, Networking, Kali Linux",Yes,3 months,Security Analyst Intern,Delhi,remote,Strong fundamentals in Cybersecurity and willingness to learn.,₹17143 /month,1:1 mentorship from industry professionals.
DataForge Labs,DevOps,"Docker, CI/CD, GitHub Actions, Linux",Yes,2 months,DevOps Intern,Coimbatore,onsite,Good communication skills and ability to work in a team.,₹7889 /month,Flexible working hours and remote-friendly culture.
CyberMatrix Security,UI/UX,"Figma, Wireframing, User Research, Prototyping",Yes,2 months,UI/UX Design Intern,Remote,remote,"Comfortable with Figma, Wireframing, User Research, Prototyping and basic problem solving.",₹6033 /month,Access to internal learning resources and workshops.
PixelCraft Studios,Cloud Computing,"Linux, AWS, Kubernetes, CI/CD",Yes,3 months,Cloud Intern,Mumbai,hybrid,Strong fundamentals in Cloud Computing and willingness to learn.,₹18492 /month,Access to internal learning resources and workshops.
CloudNova Tech,Data Science,"Pandas, SQL, Python, Scikit-Learn",Yes,4–6 months,Data Science Intern,Chennai,remote,Good communication skills and ability to work in a team.,₹4419 /month,Team outings and hackathon-style sprints.
DataForge Labs,Cybersecurity,"Python, Burp Suite, Networking, Kali Linux",Yes,3 months,Security Analyst Intern,Coimbatore,hybrid,Strong fundamentals in Cybersecurity and willingness to learn.,₹7246 /month,Team outings and hackathon-style sprints.
BlueSky Digital,Mobile Development,"Flutter, REST APIs, Dart, Firebase",Yes,3 months,Mobile App Intern,Kochi,onsite,"Comfortable with Flutter, REST APIs, Dart, Firebase and basic problem solving.",₹23730 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,AI & Robotics,"Embedded Systems, OpenCV, Python, ROS",Yes,2 months,AI Research Intern,Noida,onsite,College projects or mini-projects in related areas is a plus.,₹5367 /month,Opportunity to work on live client projects.
